"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score"
"CU","2018-05-09","74.8","-0.6554","6.1725","Kris Bryant",592178,642571,"strikeout","called_strike",,,,,"4","Kris Bryant called out on strikes.  ","R","R","R","CHC","MIA","S",2,"null",2,2,2018,"1.0199","-0.9270","-0.8032","2.6810","null","null","546991.00",0,6,"Bot","null","null",,,592407,,"180509_203032","-1.9737","-108.6018","1.5539","8.0722","19.9205","-39.7582","3.2861","1.6213","null","null","null","72.9530","2574","5.1240",529956,642571,592407,571506,516770,445988,500743,543776,621446,605119,"55.3759","null","null","0.00",1,0,0,"null",53,"5","Curveball",10,1,10,1,1,10,10,1
"FO","2018-05-09","86.7","-2.0770","6.3341","Kris Bryant",592178,547749,"field_out","hit_into_play",,,,,"4","Kris Bryant lines out sharply to left fielder Cameron Maybin.  ","R","R","R","CHC","MIA","X",7,"line_drive",2,2,2018,"-1.1741","0.5019","-0.4937","2.4953","null","null","546991.00",0,4,"Bot","41.77","75.15",,,592407,,"180509_194554","5.9672","-126.0122","-3.9299","-13.2501","23.5723","-26.4984","3.2451","1.4070","350","105.4","20.5780","85.3550","1548","5.3080",529956,547749,592407,571506,516770,445988,500743,457727,621446,605119,"55.1915","0.881","1.443","0.00",1,0,0,6,36,"6","Forkball",9,1,9,1,1,9,9,1
"SL","2018-05-09","83.7","1.8497","6.0165","Kris Bryant",592178,612672,"double","hit_into_play_score",,,,,"6","Kris Bryant doubles (11) on a fly ball to center fielder Lewis Brinson.   Addison Russell scores.    Albert Almora Jr.   to 3rd.  ","R","R","L","CHC","MIA","X","null","fly_ball",2,0,2018,"-0.5353","0.1085","0.3237","2.5585","608365.00","null","546991.00",1,3,"Bot","165.99","38.06",,,592407,,"180509_191616","-2.4609","-121.7179","-1.7336","-4.6942","24.3508","-31.0314","3.2451","1.4070","389","97.5","29.2530","82.6310","2122","5.6540",529956,612672,592407,571506,516770,445988,500743,457727,621446,605119,"54.8456","0.436","0.800","1.25",1,1,1,5,23,"3","Slider",1,0,1,0,0,1,1,0
"null","2018-05-09","null","null","null","Kris Bryant",592178,612672,"home_run","hit_into_play_score",,,,,"null","Kris Bryant homers (6) on a line drive to left center field.  ","R","R","L","CHC","MIA","X","null","line_drive",1,2,2018,"null","null","null","null","null","null","null",1,1,"Bot","59.28","53.54",,,592407,,"180509_183331","null","null","null","null","null","null","3.2451","1.4070","null","104.4","23.6990","null","null","null",529956,612672,592407,571506,516770,445988,500743,457727,621446,605119,"null","0.943","1.743","2.00",1,0,3,6,5,"4","",0,0,0,0,0,0,0,0
"SL","2018-05-08","87.7","-1.3084","6.1678","Kris Bryant",592178,570632,"field_out","hit_into_play",,,,,"14","Kris Bryant grounds out softly, third baseman Brian Anderson to first baseman Justin Bour.  ","R","R","R","CHC","MIA","X",5,"ground_ball",0,2,2018,"-0.0798","0.7935","1.0763","2.2447","null","null","null",1,3,"Bot","118.96","189.18",,,592663,,"180509_010238","5.8373","-127.5175","-4.9514","-1.8904","22.6258","-23.0141","3.2438","1.4057","14","57.9","-8.3270","86.9440","2179","5.5480",529941,570632,592663,571506,516770,605119,500743,518618,621446,457727,"54.9518","0.075","0.065","0.00",1,0,0,1,26,"3","Slider",2,3,2,3,3,2,2,3
"FT","2018-05-08","91.4","-1.7267","5.9799","Kris Bryant",592178,570632,"strikeout","swinging_strike",,,,,"13","Kris Bryant strikes out swinging.  ","R","R","R","CHC","MIA","S",2,"null",0,2,2018,"-1.3648","0.7706","-0.4820","1.0321","null","656941.00","null",1,1,"Bot","null","null",,,592663,,"180509_002600","6.1466","-132.8208","-8.2837","-17.6466","29.0914","-21.3582","3.2438","1.4057","null","null","null","91.8200","1862","6.6680",529941,570632,592663,571506,516770,605119,500743,518618,621446,457727,"53.8318","null","null","0.00",1,0,0,"null",10,"3","2-Seam Fastball",0,3,0,3,3,0,0,3
"FC","2018-05-07","87.6","-2.0408","5.5123","Kris Bryant",592178,543031,"single","hit_into_play_no_out",,,,,"6","Kris Bryant singles on a ground ball to shortstop Miguel Rojas.   Albert Almora Jr.   to 2nd.  ","R","R","R","CHC","MIA","X","null","ground_ball",1,1,2018,"0.4450","0.8550","0.6191","2.2168","null","null","546991.00",2,6,"Bot","93.09","145.33",,,592407,,"180508_015603","5.5106","-127.5588","-3.6421","3.8367","24.0411","-22.3196","3.2449","1.4068","138","70.4","13.0080","87.9470","2387","6.2830",529928,543031,592407,571506,516770,445988,500743,518618,457727,605119,"54.2170","0.386","0.374","0.90",1,1,0,2,51,"3","Cutter",9,1,9,1,1,9,9,1
"FF","2018-05-07","89.7","-2.0667","5.8022","Kris Bryant",592178,543031,"double","hit_into_play_no_out",,,,,"1","Kris Bryant doubles (10) on a ground ball to left fielder Derek Dietrich.  ","R","R","R","CHC","MIA","X","null","ground_ball",0,0,2018,"-0.6835","1.1263","-0.5590","2.9299","null","null","null",0,5,"Bot","55.04","121.99",,,592663,,"180508_013057","5.3072","-130.6918","-3.6674","-9.1408","25.9946","-18.2850","3.2449","1.4068","96","86.4","6.7080","91.4350","2237","7.1420",529928,543031,592663,571506,516770,445988,500743,518618,457727,605119,"53.3575","0.472","0.453","1.25",1,1,1,4,39,"1","4-Seam Fastball",7,1,7,1,1,7,7,1
"CH","2018-05-07","85.5","1.6042","6.1573","Kris Bryant",592178,606424,"strikeout","called_strike",,,,,"8","Kris Bryant called out on strikes.  ","R","R","L","CHC","MIA","S",2,"null",3,2,2018,"1.5702","0.5779","-0.1879","1.4074","546991.00","null","450314.00",0,3,"Bot","null","null",,,592663,,"180508_005324","-7.2576","-124.1437","-5.9742","17.4222","24.7624","-25.3416","3.2786","1.4942","null","null","null","84.6970","2332","5.8790",529928,606424,592663,571506,516770,445988,500743,518618,457727,605119,"54.6201","null","null","0.00",1,0,0,"null",22,"6","Changeup",2,0,2,0,0,2,2,0
"FF","2018-05-07","91.9","2.0209","6.1207","Kris Bryant",592178,606424,"home_run","hit_into_play_score",,,,,"2","Kris Bryant homers (5) on a fly ball to left field.   Ben Zobrist scores.  ","R","R","L","CHC","MIA","X","null","fly_ball",1,2,2018,"1.0010","1.2702","-0.2213","3.2180","null","null","450314.00",1,1,"Bot","18.74","72.18",,,592663,,"180508_001944","-7.6981","-133.4776","-4.1191","13.3703","29.0274","-16.6868","3.2449","1.4068","389","102.4","33.9990","90.7520","1949","5.7190",529928,606424,592663,571506,516770,445988,500743,518618,457727,605119,"54.7807","0.640","1.254","2.00",1,0,3,6,6,"4","4-Seam Fastball",0,0,0,0,0,0,0,0
