"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score"
"FF","2017-10-01","92.9","-1.7858","6.0233","Kris Bryant",592178,592547,"field_out","hit_into_play",,,,,"2","Kris Bryant flies out to right fielder Phillip Ervin.  ","R","R","R","CHC","CIN","X",9,"fly_ball",3,2,2017,"-1.0543","1.6322","-0.1307","2.8201","595879.00","null","543557.00",2,3,"Bot","156.23","94.34",,,571466,,"171001_200619","6.4117","-134.6625","-5.8111","-13.9949","28.9821","-11.6320","3.2441","1.4059","259","85.8","46.3130","91.8530","2334","5.8460",492518,592547,571466,458015,571697,553993,446359,594807,571740,640447,"54.6585","0.009","0.012","0.00",1,0,0,3,21,"6","4-Seam Fastball",0,0,0,0,0,0,0,0
"FF","2017-10-01","93.3","-1.6334","5.9638","Kris Bryant",592178,592547,"null","ball",,,,,"12","null","R","R","R","CHC","CIN","B","null","null",2,2,2017,"-0.7607","1.5683","1.2526","4.0845","595879.00","null","543557.00",2,3,"Bot","null","null",,,571466,,"171001_200543","9.0812","-135.3117","-2.4897","-11.3335","29.1055","-12.5069","3.3114","1.5809","null","null","null","93.2940","2356","6.4250",492518,592547,571466,458015,571697,553993,446359,594807,571740,640447,"54.0781","null","null","null","null","null","null","null",21,"5","4-Seam Fastball",0,0,0,0,0,0,0,0
"FF","2017-10-01","93.0","-1.9773","5.9775","Kris Bryant",592178,592547,"null","foul",,,,,"5","null","R","R","R","CHC","CIN","S","null","null",2,1,2017,"-0.9133","1.8370","-0.1681","2.1289","595879.00","null","543557.00",2,3,"Bot","null","null",,,571466,,"171001_200512","6.5652","-134.8256","-7.9940","-12.4561","28.1478","-8.4257","3.2441","1.4059","null","null","null","92.5440","2336","6.1240",492518,592547,571466,458015,571697,553993,446359,594807,571740,640447,"54.3807","null","null","null","null","null","null","null",21,"4","4-Seam Fastball",0,0,0,0,0,0,0,0
"FF","2017-10-01","93.0","-1.8035","5.9946","Kris Bryant",592178,592547,"null","ball",,,,,"14","null","R","R","R","CHC","CIN","B","null","null",1,1,2017,"-1.1480","1.6544","1.3819","1.2172","595879.00","null","543557.00",2,3,"Bot","null","null",,,571466,,"171001_200445","10.5104","-134.4602","-9.8912","-15.9459","26.9734","-10.4638","3.4425","1.5809","null","null","null","92.2340","2391","6.0070",492518,592547,571466,458015,571697,553993,446359,594807,571740,640447,"54.4969","null","null","null","null","null","null","null",21,"3","4-Seam Fastball",0,0,0,0,0,0,0,0
"SL","2017-10-01","82.1","-1.9121","6.0165","Kris Bryant",592178,592547,"null","blocked_ball",,,,,"14","null","R","R","R","CHC","CIN","B","null","null",0,1,2017,"0.2354","0.2494","1.1319","1.3841","595879.00","null","543557.00",2,3,"Bot","null","null",,,571466,,"171001_200411","6.3224","-119.1943","-4.3691","1.0900","20.5824","-29.3487","3.3114","1.5809","null","null","null","80.8400","2515","5.3170",492518,592547,571466,458015,571697,553993,446359,594807,571740,640447,"55.1870","null","null","null","null","null","null","null",21,"2","Slider",0,0,0,0,0,0,0,0
"CU","2017-10-01","74.0","-2.0403","6.1436","Kris Bryant",592178,592547,"null","called_strike",,,,,"2","null","R","R","R","CHC","CIN","S","null","null",0,0,2017,"0.7086","-1.0034","-0.2688","3.3285","595879.00","null","543557.00",2,3,"Bot","null","null",,,571466,,"171001_200346","2.3812","-107.3912","3.2390","4.8340","20.5991","-40.5710","3.2777","1.5372","null","null","null","72.5100","2444","5.5440",492518,592547,571466,458015,571697,553993,446359,594807,571740,640447,"54.9603","null","null","null","null","null","null","null",21,"1","Curveball",0,0,0,0,0,0,0,0
"FF","2017-10-01","93.3","-2.4363","5.7266","Kris Bryant",592178,592547,"strikeout","swinging_strike",,,,,"11","Kris Bryant strikes out swinging.  ","R","R","R","CHC","CIN","S",2,"null",1,2,2017,"-1.4684","1.1264","-0.5428","4.0281","null","null","null",1,1,"Bot","null","null",,,571466,,"171001_193313","7.9610","-135.3454","-1.0295","-19.5442","28.3562","-18.4691","3.2441","1.4059","null","null","null","92.6670","2311","5.9870",492518,592547,571466,458015,571697,553993,446359,594807,571740,640447,"54.5181","null","null","0.00",1,0,0,"null",5,"4","4-Seam Fastball",0,0,0,0,0,0,0,0
"SL","2017-10-01","83.9","-2.0272","6.1163","Kris Bryant",592178,592547,"null","ball",,,,,"14","null","R","R","R","CHC","CIN","B","null","null",0,2,2017,"0.4086","0.0455","0.9381","1.8663","null","null","null",1,1,"Bot","null","null",,,571466,,"171001_193253","5.9668","-121.6983","-3.4499","2.8107","23.1165","-31.3318","3.2721","1.6319","null","null","null","82.4910","2423","5.4390",492518,592547,571466,458015,571697,553993,446359,594807,571740,640447,"55.0657","null","null","null","null","null","null","null",5,"3","Slider",0,0,0,0,0,0,0,0
"FF","2017-10-01","93.5","-2.1349","6.0113","Kris Bryant",592178,592547,"null","foul",,,,,"14","null","R","R","R","CHC","CIN","S","null","null",0,1,2017,"-1.0801","1.4066","0.9371","1.8784","null","null","null",1,1,"Bot","null","null",,,571466,,"171001_193212","10.2843","-135.3571","-7.9454","-15.5856","29.5102","-13.2711","3.2441","1.4059","2","58.4","-39.2608","93.3860","2241","6.4910",492518,592547,571466,458015,571697,553993,446359,594807,571740,640447,"54.0139","null","null","null","null","null","null","null",5,"2","4-Seam Fastball",0,0,0,0,0,0,0,0
"FF","2017-10-01","92.9","-2.4715","6.1798","Kris Bryant",592178,592547,"null","swinging_strike",,,,,"11","null","R","R","R","CHC","CIN","S","null","null",0,0,2017,"-1.2550","1.1791","-1.0084","3.0491","null","null","null",1,1,"Bot","null","null",,,571466,,"171001_193149","6.3384","-134.6585","-4.6328","-16.3752","30.7051","-17.3444","3.2441","1.4059","null","null","null","91.5640","2310","5.8040",492518,592547,571466,458015,571697,553993,446359,594807,571740,640447,"54.7012","null","null","null","null","null","null","null",5,"1","4-Seam Fastball",0,0,0,0,0,0,0,0
